model_group,purpose,i,j,circuit_index,counts_json,shots_observed
kernel_svc,test_kernel,5,9,214,"{""0001"": 18, ""0000"": 200, ""1000"": 32, ""0100"": 3, ""1001"": 3}",256
kernel_svc,test_kernel,6,0,215,"{""0000"": 238, ""0001"": 13, ""1000"": 4, ""0100"": 1}",256
kernel_svc,test_kernel,6,1,216,"{""0001"": 14, ""0000"": 219, ""0100"": 17, ""1000"": 6}",256
kernel_svc,test_kernel,6,2,217,"{""0000"": 181, ""1000"": 36, ""0001"": 27, ""0010"": 1, ""0100"": 6, ""1001"": 4, ""1010"": 1}",256
kernel_svc,test_kernel,6,3,218,"{""0000"": 234, ""0001"": 18, ""1000"": 3, ""1001"": 1}",256
kernel_svc,test_kernel,6,4,219,"{""1000"": 13, ""0000"": 214, ""0001"": 24, ""0010"": 3, ""0100"": 1, ""1001"": 1}",256
kernel_svc,test_kernel,6,5,220,"{""0000"": 221, ""1000"": 3, ""0001"": 29, ""0010"": 3}",256
kernel_svc,test_kernel,6,6,221,"{""0000"": 206, ""1000"": 23, ""0010"": 2, ""0001"": 21, ""0100"": 1, ""1001"": 3}",256
kernel_svc,test_kernel,6,7,222,"{""0000"": 233, ""1000"": 4, ""0001"": 18, ""0100"": 1}",256
kernel_svc,test_kernel,6,8,223,"{""0000"": 211, ""0001"": 29, ""0010"": 2, ""1000"": 9, ""0100"": 2, ""0101"": 1, ""1001"": 2}",256
kernel_svc,test_kernel,6,9,224,"{""0000"": 223, ""0001"": 22, ""1000"": 2, ""0010"": 7, ""1001"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,7,0,225,"{""0000"": 190, ""1001"": 6, ""0100"": 2, ""1000"": 30, ""0001"": 25, ""0010"": 3}",256
kernel_svc,test_kernel,7,1,226,"{""0000"": 216, ""0010"": 2, ""0001"": 21, ""1001"": 2, ""1000"": 8, ""0100"": 7}",256
kernel_svc,test_kernel,7,2,227,"{""0000"": 231, ""0001"": 22, ""1000"": 3}",256
kernel_svc,test_kernel,7,3,228,"{""0000"": 216, ""0001"": 17, ""1001"": 4, ""1000"": 16, ""0100"": 2, ""0010"": 1}",256
kernel_svc,test_kernel,7,4,229,"{""0000"": 235, ""0001"": 16, ""0110"": 1, ""1000"": 3, ""1001"": 1}",256
kernel_svc,test_kernel,7,5,230,"{""0000"": 190, ""1000"": 47, ""0001"": 12, ""1001"": 5, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,7,6,231,"{""0000"": 242, ""0001"": 10, ""1000"": 2, ""0100"": 1, ""0010"": 1}",256
kernel_svc,test_kernel,7,7,232,"{""0000"": 176, ""1000"": 54, ""0001"": 15, ""1001"": 5, ""0100"": 5, ""1100"": 1}",256
kernel_svc,test_kernel,7,8,233,"{""0000"": 158, ""1000"": 78, ""1001"": 5, ""0001"": 12, ""1100"": 1, ""0100"": 1, ""0010"": 1}",256
kernel_svc,test_kernel,7,9,234,"{""0000"": 198, ""1000"": 35, ""0001"": 17, ""0100"": 2, ""1001"": 3, ""1100"": 1}",256
kernel_svc,test_kernel,8,0,235,"{""0000"": 217, ""1000"": 5, ""0001"": 26, ""0010"": 2, ""0100"": 5, ""1001"": 1}",256
kernel_svc,test_kernel,8,1,236,"{""0000"": 220, ""0100"": 7, ""0001"": 26, ""1000"": 2, ""0101"": 1}",256
kernel_svc,test_kernel,8,2,237,"{""1000"": 39, ""0000"": 192, ""0001"": 20, ""1101"": 1, ""1001"": 4}",256
kernel_svc,test_kernel,8,3,238,"{""0000"": 230, ""0001"": 22, ""0010"": 2, ""1000"": 2}",256
kernel_svc,test_kernel,8,4,239,"{""0000"": 227, ""0100"": 2, ""0001"": 13, ""1000"": 11, ""1001"": 2, ""0010"": 1}",256
kernel_svc,test_kernel,8,5,240,"{""0000"": 227, ""0001"": 18, ""0100"": 3, ""1000"": 7, ""1001"": 1}",256
kernel_svc,test_kernel,8,6,241,"{""0000"": 217, ""1000"": 16, ""0001"": 20, ""0100"": 1, ""1001"": 1, ""0101"": 1}",256
kernel_svc,test_kernel,8,7,242,"{""0000"": 220, ""0001"": 23, ""0010"": 5, ""1001"": 1, ""1000"": 6, ""0100"": 1}",256
kernel_svc,test_kernel,8,8,243,"{""0000"": 222, ""1000"": 19, ""0010"": 2, ""0001"": 13}",256
kernel_svc,test_kernel,8,9,244,"{""0000"": 240, ""0001"": 12, ""0101"": 1, ""1000"": 3}",256
kernel_svc,test_kernel,9,0,245,"{""0000"": 211, ""0010"": 4, ""0001"": 24, ""1000"": 11, ""1001"": 3, ""0100"": 2, ""0110"": 1}",256
kernel_svc,test_kernel,9,1,246,"{""0000"": 209, ""0100"": 12, ""1100"": 1, ""0001"": 30, ""1000"": 3, ""1001"": 1}",256
kernel_svc,test_kernel,9,2,247,"{""0000"": 198, ""1000"": 32, ""0001"": 18, ""1001"": 4, ""1100"": 1, ""0100"": 2, ""0010"": 1}",256
kernel_svc,test_kernel,9,3,248,"{""0000"": 227, ""0010"": 6, ""0001"": 19, ""0011"": 1, ""1000"": 2, ""0100"": 1}",256
kernel_svc,test_kernel,9,4,249,"{""0000"": 236, ""1000"": 9, ""0101"": 1, ""0001"": 8, ""0011"": 1, ""0010"": 1}",256
kernel_svc,test_kernel,9,5,250,"{""0000"": 221, ""1000"": 9, ""0001"": 22, ""1001"": 1, ""0010"": 1, ""0100"": 2}",256
kernel_svc,test_kernel,9,6,251,"{""0000"": 216, ""0001"": 22, ""1000"": 15, ""0011"": 1, ""0010"": 1, ""0100"": 1}",256
kernel_svc,test_kernel,9,7,252,"{""1000"": 14, ""0000"": 219, ""0001"": 19, ""0010"": 1, ""1001"": 2, ""0100"": 1}",256
kernel_svc,test_kernel,9,8,253,"{""0000"": 216, ""0001"": 15, ""1000"": 20, ""0010"": 4, ""1001"": 1}",256
kernel_svc,test_kernel,9,9,254,"{""0000"": 245, ""0001"": 9, ""0011"": 2}",256
vqc,valid_vqc,0,-1,255,"{""1000"": 43, ""0110"": 6, ""0000"": 81, ""1101"": 53, ""1011"": 10, ""0101"": 30, ""0011"": 5, ""1110"": 13, ""1001"": 4, ""0001"": 6, ""0100"": 1, ""1100"": 2, ""0010"": 2}",256
vqc,valid_vqc,1,-1,256,"{""1110"": 20, ""0101"": 82, ""0000"": 102, ""1011"": 23, ""0111"": 1, ""0001"": 6, ""1100"": 2, ""0110"": 3, ""0010"": 2, ""1101"": 7, ""1111"": 3, ""1001"": 4, ""0011"": 1}",256
